Nama Pengguna,Produk,Rating,Ulasan,Tanggal
Leonardi,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 5,sudah ditest nyala n berfungsi.,1 bulan lalu
I***e,Maspion Mikado Dandang Alcor Anodize Tutup Kaca - Steamer Alumunium,bintang 4,"Agak penyok bagian bawahnya, padahal uda pakai bubble wrap :(",1 bulan lalu
Neneng,Maspion Desk Fan 7 Inch F-18 DA,bintang 5,barangnya bagus dan harganya terjangkau. cepat respon dan pengiriman barang juga cepat,1 bulan lalu
B***o,Maspion Rice Cooker MRC 1819PL (1.8L),bintang 5,Barang diterima keadaan baik sesuai diskripsi pengirinan cepat sampai dgn slamet terima kasih,1 bulan lalu
Zack,Maspion Cangkir RRT Hello Panda 10 cm - Gelas Mug Stainless Steel,bintang 1,"beli mug 2 buah dikasih yg penyok.
minta tukar baru malah pengembalian dana,
tanpa komunikasikan dl ke pihak pembeli. untung nya pihak tokped mengusut kejadian ini dan me... ",1 bulan lalu
Ade,Maspion Dispenser MD-106 PAS,bintang 5,"Pengiriman cepat. Barang diterima sesuai pesanan. Saat ini berfungsi baik. 
Thank you, seller",1 bulan lalu
m***c,"Maspion Desk 6"" Fan F-15 DA",bintang 3,"kecil, ga bisa muter",1 bulan lalu
Heppy,Maspion Dispenser Galon Bawah MD-105BL,bintang 5,Recommended seller 👍,1 bulan lalu
Rifat,Maspion Desk Fan 12 Inch EF-30 P2,bintang 5,Pas sesuai permintaan. Thanks.,1 bulan lalu
Nunung,Maspion Stand Fan 16 Inch F-1625 RC,bintang 5,"pemasangan mudah, kualitas baik.",1 bulan lalu
a***e,Maspion Setrika HA - 110,bintang 5,pengiriman cepat n berfungsi dengan baik..,1 bulan lalu
danang,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 3,barang dus nya sobek untung lecet dikit doang,1 bulan lalu
m***r,Maspion Magic Cooker MRJ-1856 BSS,bintang 5,"Terima kasih Maspion, order sesuai pesanan, packing rapi & Aman👍👍👍",1 bulan lalu
Agung,Maspion Setrika HA-365 Hijab Series,bintang 5,barang orii,2 bulan lalu
B***n,Maspion Stand Fan Kipas Angin Berdiri 18 Inchi Power Fan PW-18X2,bintang 5,Gampang dirakit Desain elegan Proses pesanan cepat Garansi terjamin Packaging aman 🙏,2 bulan lalu
M***a,Maspion Stand Fan 16 Inch F-1625 RC,bintang 5,"Barang datang dengan lengkap. Mode swing bisa berputar 360. Ada remote kontrol utk memudahkan pengaturan. Angin standar. Rangka tampak kokoh. Sbg masukan, warna bisa dibu... ",2 bulan lalu
Diara,"Maspion Teko Jazzy 2,5 liter - Alumunium Anodize Whistle Kettle",bintang 5,"Belum dicoba untuk masak air sih, namun material bahan aman, tdk ada penyok2. semoga awet, aamiin",2 bulan lalu
rizqi,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 2,"ini ada suara apa dah, ada yang copot kah?",2 bulan lalu
B***n,Maspion Vanda melamin Mangkok bakso 7 Inch,bintang 5,"Kualitas Produk Bagus, motifnya bagus. packing aman. Recommended 👍",2 bulan lalu
B***n,Maspion Vanda melamin Piring ceper 6.5 Inch,bintang 5,"Kualitas Produk Bagus, motifnya bagus. packing aman. Recommended 👍",2 bulan lalu
Zero,Maspion Setrika HA - 110,bintang 1,"Br saja buka paketnya, nampak dr luar buble bag seadanya saja, pas buka kardus sdh penyok pas liat gosokannya ada pecah pula, tp bukan karena delivery krn pecahannya tida... ",2 bulan lalu
Tri,Maspion Panda Wajan 20 cm - Wok Penggorengan Stainless Steel,bintang 4,Bagus barangnya,2 bulan lalu
Hasby,Maspion Panda Seroja Pourpan - Panci Tuang Stainless Steel,bintang 5,"material ok, barang diterima dengan selamat tanpa penyok karna packaging ok.",2 bulan lalu
Muhammad,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,ok,2 bulan lalu
H***n,"Maspion Teko Jazzy 2,5 liter - Alumunium Anodize Whistle Kettle",bintang 5,👍,2 bulan lalu
Puji,Maspion Panda Magic Roaster Marbel 33 cm - Pemanggang Enamel,bintang 5,Material Produk Bagus Produk Original Kualitas Produk Bagus Produk Sesuai,2 bulan lalu
e***o,Maspion Kipas Angin dinding Wall Fan 16 Inch MWF-1609 K,bintang 2,pengriman lma..dus sudah tidak bersegel,2 bulan lalu
F***a,Maspion Dispenser Portable MD-19 PAS,bintang 5,belum d coba bru di buka,2 bulan lalu
V***i,Maspion Stand Fan 16 Inch F-1621 S,bintang 5,Gampang dirakit Hemat listrik ⚡ Garansi terjamin Desain elegan Udara jadi sejuk Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏 Packaging rapi Respon penju... ,2 bulan lalu
Dailydaily,Maspion Loyang Cetakan Kue Aluminium Round Pan 10 Anodize 2pc,bintang 4,"loyangnya bagus, bahan tebal. tapi sayang sekali 1 dari 4 loyang yg dibeli, bagian bawah loyang ada yang penyok (3 area yg penyok).",2 bulan lalu
Yudha,Maspion Teko Rainbow Nasional 22cm - Whistling Kettle Aluminium,bintang 5,"pengiriman cepat, warna keren, semoga awet",2 bulan lalu
ariessusantidian,Maspion Setrika HA-365 Hijab Series,bintang 5,"Produkny oke original , model nd warnapun bagus moga awet nd manfaat 
Trimakasih smua suksez terus",2 bulan lalu
Restu,MASPION AUTOMATIC IRON SETRIKA HA-390,bintang 3,"kardusnya ancur, strikanya juga ada bagian yang patah mungkin efek kebanting, tapi berfungsi strikanya, strikanya banyak yang lecet hadehhh",2 bulan lalu
usep,"Maspion Desk 6"" Fan F-15 DA",bintang 5,berfungsi dg baik,2 bulan lalu
aji,Maspion Kotak Perkakas - Toolbox Classy 13 Inch,bintang 5,mantap,2 bulan lalu
N***o,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,Barang bagus,2 bulan lalu
Rifat,Maspion Desk Fan 12 Inch EF-30 P2,bintang 3,"Barang berfungsi dengan baik, kemasan sangat baik, Masalahnya warna produk tidak sesuai Foto, order foto ke satu Abu abu muda,  Yg datang abu abu tua dan hitam. Salah war... ",2 bulan lalu
O***P,Maspion Dispenser Portable MD-19 PAS,bintang 5,Produknya oke sesuai dengan deskripsi👌🏻 berfungsi baik dengan semestinya👍🏻👍🏻,2 bulan lalu
R***y,Maspion Dispenser Standing MD-108 PAS (TE),bintang 2,"banyak baret""nya, dikasi barang display kayaknya",2 bulan lalu
Wendry,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 3,"kirim lambat, kalo ga di cancel Mungkin ga Langsung kirim.  kardus Seperti bekas. padahal beli baru",2 bulan lalu
F***i,Maspion Cangkir RRT Hello Panda 10 cm - Gelas Mug Stainless Steel,bintang 5,"Barangnya OK, tapi lain kali mohon packingnya agak tebal ya. Agak miris juga Official store packing hanya 2 lapis bubblewrap. Barangnya untung saja aman.",2 bulan lalu
Windi,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,"original, elegan, garansi resmi. Pemasangan mudah ga ribet. Good",2 bulan lalu
Yoan,Maspion Dispenser Portable MD-19 PAS,bintang 5,Barang bagus dan sudah dipakai berfungsi dengan baik,2 bulan lalu
Bagir,Maspion Dispenser Portable MD-19 PAS,bintang 5,"panas, normal dan air es berfungsi baik semua",2 bulan lalu
Frans,Maspion Turbine Fan 10 Inch TB-104,bintang 5,angin nya lebih terasa kencang dan terarah,2 bulan lalu
L***b,Maspion Kompor Induksi MIC-02,bintang 5,Barang berfungsi dengan baik dan sesuai dengan pesanan. Dayanya bisa diatur jadi pakai listrik rumah yang 900va tidak njeglek. Semoga awet,2 bulan lalu
DANANG,Maspion Sandwich Toaster MKT MT-206,bintang 5,"mantap sesuai deskripsi, barusan di coba oke hasilnya",2 bulan lalu
ali,Maspion Setrika HA - 380,bintang 1,"kardus sobek parah,  barang di bagian ujung pecah, pesan warna hitam di kasih ungu. mohon tokopedia dapat memperingatkan penjual yang seperti ini.  tidak recommended, mer... ",2 bulan lalu
Adhityo,Maspion Setrika HA - 110,bintang 5,barang bagus dan buat setrika rapi,2 bulan lalu
ummi,Maspion Panda Wajan 20 cm - Wok Penggorengan Stainless Steel,bintang 5,Material Produk Bagus Ukuran Produk Sesuai Kualitas Produk Bagus Produk Original,2 bulan lalu
Wida,Maspion Puro Puraipan 26cm - Wajan Tahan Karat,bintang 5,Material Produk Bagus Kualitas Produk Bagus Produk Original,2 bulan lalu
B***g,Maspion Setrika HA 370,bintang 3,"packing saja kurang ,tipis bubblewrapnya ,jadi sobek saat diterima paketnya mohon diperbaiki cara packing nya bubblewrapnya ditambah ok...selebihnya brg fungsi alhamdulil... ",2 bulan lalu
y***n,Maspion Panda Aster Stirfry Stainless Steel 26 cm + Tempura & Spatula,bintang 5,bagus... cepet juga sampe,2 bulan lalu
Yuneet,Maspion Setrika HA - 380,bintang 5,"pengiriman agak lambat,,packingan kurang rapi,,,dus rusak jadi strika nya ada lecet di ujung nya,,untuk barang di cek nyalanya cepet panas,,bagus...",2 bulan lalu
Heru,Maspion Signature Pan Dutch Oven 20 cm - Panci Casserole Enamel,bintang 5,"Seller ramah dan fast respon, barang diproses dihari yang sama, pengiriman cepat, produk bagus dan memuaskan sesuai deskripsi, recomended seller👍",2 bulan lalu
Heru,Maspion Mikado Rigoletto Summer Whistling Kettle - Teko Alumunium,bintang 5,"Seller ramah dan fast respon, barang diproses dihari yang sama, pengiriman cepat, produk bagus dan memuaskan sesuai deskripsi, recomended seller👍",2 bulan lalu
zaid,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,ok,2 bulan lalu
L***y,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,yey dapat warna putih ternyata terimakasih,2 bulan lalu
STEFEN,Maspion Magic Cooker MRJ-1856 BRS,bintang 5,Mudah2an Awet,2 bulan lalu
Hendri,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,Barang bagus. Mudah sekali pemasangan nya 🙏,2 bulan lalu
P***i,Maspion Dispenser Portable MD-19 PAS,bintang 5,"Design elegan, panas dingin berfungsi semua, so far so good.. cinta produk indonesia",2 bulan lalu
Ahmad,Maspion Power Fan 20 Inch PW-502 S,bintang 4,instruksi pemasangan tidak terlalu jelas,2 bulan lalu
