Nama Pengguna,Produk,Rating,Ulasan,Tanggal
D***a,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 4,"barang original, kualitas baik, dipake juga berfungsi dengan baik, tapi adminnya rada lama nih respon nya, saran kedepannya adminnya kudu gercep bales, kalau emang g bisa... ",1 bulan lalu
A***n,Cosmos CRJ-8229 WRG - Rice Cooker 2 L (Tongolan Super),bintang 5,"rice cooker nampak elegan. warna juga demikina. untuk coba rasa belum yah. krn belum di pakai. kardus mulus, sayang ada bagian yang gak terlalu nempel di tombol dan lampu... ",1 bulan lalu
A***i,Cosmos CB-282 G - Blender 2 L,bintang 5,Barangnya sudah sampai dan sesuai. Terima kasih! 🙏🏻,1 bulan lalu
T***a,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,minimalis dan mudah digunakan,1 bulan lalu
Fadhli,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,"Pengiriman aman pakai bubble wrap, perakitan gampang, kelihatan sudah QC karena ada bekas sidik jari dan sticker disekitar switch box, sudah dipakai 1 minggu belum ada ma... ",1 bulan lalu
Ardi,Cosmos CRJ-3020 G - Gas Rice Cooker 20 L,bintang 5,respon cepat barang mantap,1 bulan lalu
S***o,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,Barang sesuai deskripsi,1 bulan lalu
S***o,Cosmos CCM-307 N - Coffee Maker 0.65 Liter,bintang 5,Barang sesuai deskripsi,1 bulan lalu
Y***a,Cosmos Blenz CB-832PC - Blender 2 L,bintang 1,ini bau kebakar dan nyetrum. udahlah mau complain terlanjur males. mesin blender kan emang bisa mati sendiri nanti nyala lagi sendiri. baru dipake buat jus buah bit + wor... ,1 bulan lalu
Noer,Stand Mixer COSMIC CM-1269 (Cosmos Mixer with Container),bintang 5,Barang yang dikirim lengkap,1 bulan lalu
John,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),bintang 5,sesuai pesanan dan proses pengiriman cepat,1 bulan lalu
E***o,Cosmos 16-WFGRR - Wall Fan - 16 Inch,bintang 5,Udara jadi sejuk,1 bulan lalu
E***a,Cosmos Blenz CB-812 GC - Blender 2 L (Goblet Kaca) Plus Choper ,bintang 5,Produk d terima dng aman dan berfungsi dng baik.terima kasih,1 bulan lalu
Siti,Cosmos Blenz CB-832PC - Blender 2 L,bintang 5,"Barang sesuai lengkap, pengiriman dan packing bagus, belum di coba semoga amn dan awet",1 bulan lalu
R***i,Cosmos CB-281 P - Blender 2 L,bintang 5,"cepet bgt pengemasan barangnya, pesen siang, malem sampe pake jasa same day. Blendernya juga bagus, pisau tajam, sudah coba jus buah jg mantapp",1 bulan lalu
WANG,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,"respon penjual cepat, kiriman rapi, ada bonus kalender 2024, terima kasih toko pedia.",2 bulan lalu
S***l,Cosmos Rice Cooker Non Stick CRJ-3121 AF- 1.8L,bintang 5,barang bagus. pengiriman baik. hanya ongkir mahal ya..,2 bulan lalu
Rohmat,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 5,"packing rapi, sementara masih blm dicoba",2 bulan lalu
Rifa,Cosmos CB-282 G - Blender 2 L,bintang 5,"barang nyampe dengan selamat,gaada cacat barang atau apapun.langsung dicoba",2 bulan lalu
Arif,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"reviews nya kebelet ke tolilet, 
kipas dr official store mah.
kita ga pernah ragu dgn garansinya.
makasih official store.",2 bulan lalu
dewi,Cosmos CIS-418 - Setrika Listrik,bintang 5,ok,2 bulan lalu
N***n,Cosmos Harmond CRJ-6288 - Rice Cooker 2 L (Red/Green/Blue),bintang 5,"Mendarat , diterima dengan aman, bagus keluarga suka. Pengiriman kargo nya mantap",2 bulan lalu
W***s,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,Barang berkualitas 👍,2 bulan lalu
A***a,Cosmos CB-282 G - Blender 2 L,bintang 5,"Tiba tepat waktu, semuanya dalam keadaan baik dan lengkap, pengepakan juga sangat baik. Belum dicoba sih, tapi saya percaya produk cosmos baik adanya.",2 bulan lalu
Muhamad,Cosmos CRJ-1803 - Rice Cooker 1.2 L,bintang 5,mantappp,2 bulan lalu
S***i,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,keren banget asliiii,2 bulan lalu
S***a,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,blm dicoba..semoga awet,2 bulan lalu
rahmad,Cosmos CO-9909 B - Oven 9 L,bintang 5,bagus,2 bulan lalu
a***r,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 5,mantaplah,2 bulan lalu
I***a,Cosmos Rice Cooker Harmond CRJ-6028 V - 1.2L,bintang 5,Nasi matang merata 👍 Proses pesanan cepat Packaging aman 🙏,2 bulan lalu
F***n,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,Rice cookernya bagus dan berfungsi sebagaimana mestinya👍🏻,2 bulan lalu
Rima,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,"bagus suaranya halus.
tapi untuk pngganti ulekan kurang..",2 bulan lalu
B***G,New Mixer STAND CM 1669 COSMIX,bintang 5,barang asli & garansi resmi cosmos official store terpercaya,2 bulan lalu
Sarifudin,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 5,alhamdulillah sesuai pesanannya,2 bulan lalu
J***h,Cosmos CM-1659 - Hand Mixer,bintang 5,"brg sesuai pesanan, berfungsi dgn baik, pengiriman cepat, packing sangat tebal dan aman",2 bulan lalu
J***h,Cosmos CRJ-1803 - Rice Cooker 1.2 L,bintang 5,"brg sesuai pesanan, berfungsi dgn baik, pengiriman cepat, packing sangat tebal dan aman",2 bulan lalu
Albertus,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,semoga barangnya awet,2 bulan lalu
M***n,Cosmos CB-282 P - Blender 2 L,bintang 5,"barang  bagussss sesuai di gambar  & pengiriman cepatt 
terimakasih seller.. sya doa kan larisss jualanyaa amin",2 bulan lalu
R***i,Cosmos CRJ-1803 - Rice Cooker 1.2 L,bintang 5,barang sesuai pesanan dan berfungsi,2 bulan lalu
R***i,Cosmos Setrika Non Stick Soleplate CI-4110 N,bintang 5,barang sesuai pesanan,2 bulan lalu
MUNTOFINGAH,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,barang berfungsi dgn baik.aman thanks,2 bulan lalu
Widodo,Cosmos Blenz CB-832PC - Blender 2 L,bintang 5,Alhamdulillah brng mendarat dgn sempurna ditrima dgn baik.trims Pisaunya tajam 👍 Ringan tapi kokoh Proses pesanan cepat Packaging rapi,2 bulan lalu
Enggal,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,oke,2 bulan lalu
Lutfi,Cosmos CJ-3920 - Slow Juicer 600 ml (Blue/Red),bintang 5,"Pemakaian kedua udh rusak hahaha, tapi lagi proses service, semoga cepet selesai perbaikannya",2 bulan lalu
Imasyunita,Cosmos CB-282 G - Blender 2 L,bintang 5,Packing aman,2 bulan lalu
S***n,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 5,barang bagus. cuma pengiriman lama bangat kayak ke luar negeri 🤣,2 bulan lalu
R***d,Cosmos CRJ-1031 - Mini Portable Digital Rice Cooker 0.3 L,bintang 5,Barangnya sesuai pesanan. Good seller.,2 bulan lalu
Nana,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,pengiriman cepat,2 bulan lalu
Indun,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,bintang 5,mantaps berkualitas,2 bulan lalu
m***d,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,"Pengganjal besi di baling2 plastik nya patah, mau komplain tapi ribet ngurus nya dan lagi butuh segera.",2 bulan lalu
